,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
193101,  23.55,  23.44,  23.07, -99.99,  29.35,  25.80,  19.83,  10.84,  11.09,   7.26,  21.57,  12.16,   5.66,  14.47,  24.10,   3.93,   5.66,   8.19,   9.01,   9.24,  14.55,   7.04,   9.74,   7.40,   4.36
193102,  27.87,  24.41,  43.10,  32.21,  18.57,  12.32,  20.55,  14.35,   7.64,  24.81,   9.65,  21.13,  14.76,  12.30,  23.77,  17.89,  10.23,  10.88,  11.60,  11.97, -99.99,   6.36,   6.28,   6.04,  14.11
193103,  -8.20,  -2.89, -17.14, -10.40,  -8.43,   2.21,  -7.78,  -5.73,  -5.15,  -6.29,   5.34,  -6.62, -11.99,  -8.39, -14.75,  -3.61,  -8.02,  -7.95, -10.43, -11.50, -99.99,  -7.39,  -9.75,  -7.44,  -4.29
193104, -19.88, -14.80, -13.66, -26.54, -10.75, -19.14, -12.80, -16.20, -17.12, -19.57, -18.99, -15.13, -15.20, -16.71, -15.46,  -7.53, -16.22, -17.35, -16.20, -13.59, -99.99, -10.01,  -9.63,  -6.70, -10.22
193105,  -9.67, -21.70,  -5.73, -16.86, -11.78, -12.22, -15.65, -14.02, -12.97, -24.31, -19.83, -12.45, -16.05, -13.97, -17.85, -26.78, -20.58, -13.22, -15.04, -17.96, -99.99,  -8.80, -13.96, -11.58, -14.06
193106,  22.37,  30.75,  35.84,  13.33,  17.33,  20.92,  15.78,  22.11,  15.58,  29.70,  13.12,  18.08,  22.29,  14.65,  21.99,  28.46,  26.97,  21.91,  22.83,  17.60, -99.99,   9.58,  17.14,  12.85,  14.18
193107,  -1.12,  -9.38,  -6.09, -15.38,  -7.99,  -6.30,  -3.54,  -9.12,  -6.25, -12.05,  -2.06, -11.91,  -8.91,  -6.12, -14.24,  -4.34,  -6.40,  -7.01,  -8.43,  -7.07, -99.99,   1.93,  -8.07,  -7.40,  -6.75
193108,  -2.56,  -5.72,   2.02,  -7.80, -99.99, -10.62,  -4.89,   6.39,  -0.40,   5.67,  -4.01,  -2.17,  -4.76,   0.81,  -1.92,   3.33,  -2.28,   0.08,  -1.66,   1.03, -99.99,  -0.54,   1.17,  -0.18,  -0.13
193109, -32.82, -27.05, -29.77, -16.21, -37.23, -33.90, -31.34, -31.63, -31.60, -19.60, -39.34, -33.63, -39.61, -27.51, -39.29, -46.05, -34.81, -31.40, -21.73, -32.56, -40.00, -35.71, -28.71, -25.42, -29.92
193110,  10.97,   1.41,   0.65,  20.00,  21.21,  11.19,   4.40,  12.73,  15.34,  30.48,  29.30,  13.95,  17.60,   9.75,  10.41,  15.92,  15.07,   6.54,   4.30,  13.91, -99.99,  32.17,   3.68,   8.34,   7.84
193111, -11.75, -11.25,  -4.37, -18.03, -14.13,  -8.24,  -7.18,  -9.79,  -8.47,  -6.15,  -6.28, -10.54, -14.11,  -8.03,  -2.01,  17.06,  -6.22, -11.71,  -8.95,  -9.00, -13.85,  -9.68, -11.66, -11.16,  -7.38
193112, -20.67, -22.81, -20.58, -29.60, -99.99, -22.24, -22.59, -25.61, -25.58, -18.41, -10.00, -20.74, -19.02, -17.71, -21.56, -28.89, -19.54, -19.90, -10.05, -11.43, -14.29, -23.32, -19.85, -13.78, -11.10
193201,  28.97,  31.45,  -3.40, 100.00, -99.99,   6.74,  11.45,  17.60,  16.16,  -6.60,   4.90,   3.35,   8.56,  12.34,   2.76,   9.18,   4.34,   8.36,   1.44,  -1.03,   0.00,  -5.81,   1.12,   2.33,  -4.56
193202,  -0.10,  -3.62,  -2.86,  -1.24,  23.81,   2.49,   1.26,   2.33,  -1.50,   8.78,   9.01,   0.73,  -5.32,   1.60,   2.11,  -1.47,   0.73,   1.77,   4.38,   4.81,   0.00,   0.38,   6.78,   2.78,   7.90
193203, -12.48,  -8.97,  -8.06, -17.04, -26.96, -13.84, -15.72,  -7.95, -10.57,  -7.86, -26.38, -13.19, -18.17,  -9.02, -17.01, -11.27, -14.56,  -9.32,  -8.24,  -8.23,   0.00,   7.66, -14.44,  -8.75, -12.39
193204, -17.39, -20.02, -19.50, -18.03, -30.61, -18.69, -18.10, -14.04, -23.28, -22.72, -10.68, -15.53, -21.21, -17.23, -22.38, -23.81, -14.93, -15.86, -15.61, -22.48, -16.67,  -7.13, -10.61, -20.20, -19.17
193205, -11.50,   0.35,  -3.96,  13.77, -29.86, -21.64, -22.05, -21.18, -30.72, -37.01, -17.27, -25.56, -30.77, -21.79, -20.38, -14.38, -23.63, -33.06, -31.32, -18.86,  -5.52, -99.99, -20.40, -19.02, -20.02
193206,  -6.71,  -2.57,  10.02,   2.02,  -6.88,   0.19,  11.55,  -1.40,  14.06,  42.86, -12.83,   4.39,   5.88,  16.79,   9.14,  10.41,   6.72,   6.66,   6.30,   4.98,   1.77,   9.52,   4.23,   2.04,  -3.22
193207,  53.95,  28.04,  64.28,  75.51,  54.60,  54.66,  59.85,  38.70,  46.07,  52.55,  70.28,  53.36,  53.71,  43.51,  37.95,  34.94,  58.90,  46.33,  44.55,  37.09, -99.99,  42.77,  49.10,  36.66,  31.35
193208, 108.98,  98.05,  54.84,  82.19,  67.23,  66.16,  74.12,  80.16,  89.28,  38.60,  65.94,  83.57,  50.52,  52.66,  23.60,  58.10,  66.39,  66.01,  39.53,  40.97, -99.99,  26.36,  40.93,  40.34,  31.58
193209, -16.91,  -3.58,  -2.16, -26.00,  -7.93, -18.46,  -9.80,  -5.90,  -6.49,  -0.13, -17.41,  -2.87, -11.86,  -2.90,  -2.30, -11.44, -10.92,  -2.65,  -2.23,   0.30, -99.99,  -7.07,  -5.12,  -2.79,  -1.93
193210, -19.84, -18.51, -17.97,  -0.54, -16.63, -23.86, -15.47, -15.95, -15.87, -11.67, -24.67, -23.56, -24.69, -18.37,  -5.47, -23.82, -22.82, -19.38, -15.91,  -9.20,  -5.33, -12.36, -19.03, -14.06, -10.84
193211,  -2.60,  -8.85,  -5.74, -12.31, -15.14, -13.46, -11.45,  -4.65, -10.88,  -6.03, -11.64,  -8.60, -10.67,  -3.39,  -5.18, -21.05, -14.67, -11.03,  -2.01,  -0.46, -99.99,  -8.12, -10.14,  -9.90,  -3.38
193212, -12.42, -11.85,  -5.73, -10.63,  -9.09,  -8.68,  -7.76,  -6.48,  -5.36,   1.41,  -4.69,  -7.58,   5.74,  -5.79,  -6.03,  -9.91,   1.76,   0.19,   1.14,   3.33, -99.99,  -3.52,  -2.18,   3.26,   7.05
193301,   3.41,   3.53,  -0.27,   4.11,  23.03,   2.97,   4.53,   0.12, -18.40,   3.79,   5.90,   9.46,   9.07,   5.38,  13.53,  15.03,   1.37,   1.30,   4.25,   3.92, -99.99,   3.65,   3.46,   2.82,   0.49
193302, -11.76, -12.61, -11.51, -22.96, -30.34, -19.71, -17.30, -13.49, -21.19, -12.02, -21.32, -25.89, -22.49, -17.17, -17.05, -25.32, -21.95, -13.47, -19.85, -11.86, -99.99, -11.08, -19.48, -17.32, -13.47
193303,  11.13,  14.23, -15.92,  46.95,   8.98,  19.47,  11.67,  13.40,  21.36,  11.05,  10.85,   8.42,   8.88,  15.15,   2.98,  18.68,  11.14,  12.83,   4.36,   6.70, -99.99,   6.39,  12.23,   7.43,   0.06
193304,  64.15,  58.84,  81.92,  14.08,  56.39,  51.50,  61.17,  49.57,  47.97,  90.79,  82.45,  72.12,  49.48,  43.24,  23.16, 113.69,  57.69,  74.76,  62.07,  35.06, -99.99,  61.16,  56.78,  51.86,  25.54
193305, 107.54, 119.23,  70.84,  65.48,  50.00, 104.61,  82.70,  67.48,  70.73,  40.25,  67.21,  46.46,  48.04,  51.40,  32.03,  46.06,  36.98,  41.51,  30.94,  15.80, -99.99,  38.11,  25.19,  22.34,  13.04
193306,  38.98,  44.65,  38.76,  52.49,   0.00,  19.27,  23.52,  16.27,  28.60,  18.26,  23.43,  14.79,  16.96,  11.88,  13.50,  14.76,  23.30,  13.57,  15.13,  11.21, -99.99,  18.94,  17.09,  14.19,   9.46
193307,  -7.34,  -2.71,  -9.99, -16.21,   0.00,  -1.58, -12.90,  -8.07,  -6.97, -11.58, -15.49, -16.42, -15.24, -11.71, -13.10, -10.22, -10.01, -12.14, -14.21,  -7.47,  14.18, -11.33,  -8.68, -13.24,  -6.46
193308,   5.12,   7.35,   1.07,   8.25,  11.27,   9.46,   2.42,  10.91,  13.25,   9.56,  11.13,  17.75,  12.89,  11.35,   9.09,  20.85,  21.51,  17.26,  18.91,  15.86,  -9.85,  22.60,  20.02,  15.28,   7.56
193309, -22.53, -17.51, -11.48, -16.09, -14.73, -18.37, -19.88, -22.78, -15.08,  -6.50, -26.30, -17.09, -18.25, -14.76,  -4.28, -10.43, -16.01, -13.74, -14.99,  -7.21, -25.00, -17.32, -14.37,  -9.02,  -7.55
